entidad,sexoidtt,sexoid1,sexoid2,sexoid3
"01","115","108","5","2"
"02","614","542","59","13"
"03","436","412","22","2"
"04","384","374","9","1"
"05","253","242","9","2"
"06","119","113","5","1"
"07","580","535","38","7"
"08","730","696","26","8"
"09","759","641","106","12"
"10","219","215","4","0"
"11","1306","1265","38","3"
"12","1031","965","62","4"
"13","289","274","9","6"
"14","908","865","39","4"
"15","2472","2294","124","54"
"16","644","606","35","3"
"17","243","226","8","9"
"18","285","276","8","1"
"19","353","325","20","8"
"20","362","336","12","14"
"21","839","799","36","4"
"22","377","364","9","4"
"23","908","841","66","1"
"24","659","619","26","14"
"25","439","399","32","8"
"26","772","720","43","9"
"27","487","457","27","3"
"28","674","567","103","4"
"29","202","187","15","0"
"30","1596","1512","52","32"
"31","196","178","7","11"
"32","548","523","19","6"
"99","","","",""
