entidad,comunitt,comuni1,comuni2,comuni3
"01","0","0","0","0"
"02","202","199","0","3"
"03","22","20","0","2"
"04","7","7","0","0"
"05","24","24","0","0"
"06","0","0","0","0"
"07","15","13","0","2"
"08","11","11","0","0"
"09","96","95","0","1"
"10","1","0","0","1"
"11","339","316","0","23"
"12","84","74","0","10"
"13","15","13","0","2"
"14","24033","24023","0","10"
"15","1046","1036","0","10"
"16","15","11","0","4"
"17","35","35","0","0"
"18","3","3","0","0"
"19","17","16","0","1"
"20","16","16","0","0"
"21","26","20","0","6"
"22","41","40","0","1"
"23","88","88","0","0"
"24","34","34","0","0"
"25","45","35","0","10"
"26","145","145","0","0"
"27","28","27","0","1"
"28","70","65","0","5"
"29","15","15","0","0"
"30","253","253","0","0"
"31","1","1","0","0"
"32","85","83","0","2"
"99","","","",""
