entidad,sexoidtt,sexoid1,sexoid2,sexoid3
"01","2","0","2","0"
"02","0","0","0","0"
"03","0","0","0","0"
"04","0","0","0","0"
"05","0","0","0","0"
"06","0","0","0","0"
"07","0","0","0","0"
"08","0","0","0","0"
"09","8","2","6","0"
"10","0","0","0","0"
"11","2","1","1","0"
"12","1","0","1","0"
"13","0","0","0","0"
"14","0","0","0","0"
"15","87","35","47","5"
"16","0","0","0","0"
"17","1","1","0","0"
"18","0","0","0","0"
"19","1","0","1","0"
"20","0","0","0","0"
"21","1","0","1","0"
"22","0","0","0","0"
"23","1","0","1","0"
"24","0","0","0","0"
"25","1","0","1","0"
"26","1","1","0","0"
"27","1","0","1","0"
"28","54","26","28","0"
"29","0","0","0","0"
"30","2","1","1","0"
"31","0","0","0","0"
"32","0","0","0","0"
"99","","","",""
