entidad,cmanar1,cmanar2,cmanar3,cmanar4,cmanar5,cmanar6,cmanar8,cmanar9,cmanar10,cmanar11,cmanar12,cmanar13,cmanar14
"01",".039","1534.053","1534.053","0","0","0","0","0","0","0","0","0","0"
"02","361.64464","5378.436025","5369.584025","0",".302","8.55","132.3544","0",".32","5.14","0","126.8944","0"
"03",".127","8.4106","8.4006","0",".01","0","0","0","0","0","0","0","0"
"04","6.09049","382.08","382.08","0","0","0","0","0","0","0","0","0","0"
"05","38.2153","19189.52","19189.52","0","0","0","10.04","0","0","0","0","10.04","0"
"06",".003","5.166","5.166","0","0","0","0","0","0","0","0","0","0"
"07",".052","121.675","121.664","0",".011","0","0","0","0","0","0","0","0"
"08",".11003","2405.81549","2405.32549","0","0",".49","3.643","0",".123","1.12","0","2.4","0"
"09","118.21109","1294.33834","1290.9873","0","1.351","2.00004","8.772","0","0",".102","0","8.67","0"
"10","0","247","247","0","0","0","0","0","0","0","0","0","0"
"11","356.0789","1083.43788","1083.43788","0","0","0",".012","0","0","0","0",".012","0"
"12","1.22211","847.69758","846.89758","0","0",".8","103.4","0","2","99.6","0","1.8","0"
"13","8.8233","561.1372","561.1372","0","0","0","0","0","0","0","0","0","0"
"14","17.1743","12832.599167","12830.036167","0",".12","2.443",".2195","0","0","0","0",".2195","0"
"15","39","722","722","0","0","0",".303","0","0","0","0",".303","0"
"16","0","1914.39","1903.77","0",".5","10.12","0","0","0","0","0","0","0"
"17","0","1.395","1.395","0","0","0","0","0","0","0","0","0","0"
"18",".01369","63.98175","63.98175","0","0","0","0","0","0","0","0","0","0"
"19","7.5464","5630.368","5630.143","0",".22",".005","4.645","0","0","0","0","4.645","0"
"20",".059108","587.092","586.837","0",".255","0","0","0","0","0","0","0","0"
"21",".03681","301.9592","301.9592","0","0","0","0","0","0","0","0","0","0"
"22",".768","113.9244","113.4244","0",".5","0","0","0","0","0","0","0","0"
"23","29.0972","659.24827","658.89317","0",".3551","0","0","0","0","0","0","0","0"
"24","59.2238","491.97745","491.97245","0",".005","0","26.0196","0","0","4.12","0","21.8996","0"
"25","12.2936","2719.1754","2718.6754","0",".5","0","23.428","0","0","17.658","0","5.77","0"
"26","40.01759","20580.7342","20571.3902","0","0","9.344","42.12777","0","0","0","0","42.12777","0"
"27","15.02065","2.347","2.347","0","0","0","0","0","0","0","0","0","0"
"28","19.4118","871.252","871.252","0","0","0","0","0","0","0","0","0","0"
"29",".018","10.366","10.366","0","0","0","0","0","0","0","0","0","0"
"30",".0732","461.6265","457.2265","0","0","4.4",".69","0","0","0","0",".69","0"
"31","9.1587","94.83309","94.77509","0",".058","0","0","0","0","0","0","0","0"
"32",".5966","13149.42297","13149.42297","0","0","0","11","11","0","0","0","0","0"
"99","","","","","","","","","","","","",""
