entidad,armexp1,armexp2,armexp3,armexp5,armexp6,armexp7,armexp8
"01","15","3","12","0","0","204","5"
"02","70","19","51","0","1","7324","64"
"03","29","9","20","0","0","4511","27"
"04","7","2","5","0","0","86","4"
"05","33","14","19","0","0","15753","42"
"06","58","14","44","1","2","5469","124"
"07","33","10","23","0","1","478","24"
"08","150","89","61","2","5","12873","387"
"09","110","11","99","0","1049","8721","150"
"10","10","1","9","0","0","297","12"
"11","192","57","135","1","0","4903","209"
"12","221","114","107","0","1","38815","394"
"13","38","8","30","0","32","1643","57"
"14","126","43","83","1","8","13889","288"
"15","140","12","128","0","0","5705","98"
"16","46","15","31","0","0","2410","85"
"17","18","2","16","0","0","763","20"
"18","16","3","13","0","0","233","19"
"19","55","8","47","0","1","10927","126"
"20","28","4","24","0","0","463","31"
"21","190","57","133","0","0","5472","153"
"22","40","5","35","0","0","4753","47"
"23","72","23","49","0","1","1441","66"
"24","49","14","35","0","0","1797","44"
"25","59","21","38","0","5","19865","114"
"26","245","141","104","0","17","101343","1178"
"27","39","5","34","0","8","1601","45"
"28","167","121","46","0","8","18657","884"
"29","17","3","14","0","0","168","10"
"30","98","17","81","0","0","51719","107"
"31","34","33","1","0","0","126","1"
"32","35","12","23","0","7","2370","87"
"99","","","","","","",""
