entidad,dinfau1,dinfau2,dinfau3,dinfau4,dinfau5,dinfau6
"01","508160","4","0","0","373","43"
"02","106391122","10390115","0","0","3","154"
"03","373820","229","0","0","0","2"
"04","207453","0","0","0","38","6"
"05","5007020","612750","0","0","87","0"
"06","58163.5","0","0","0","0","0"
"07","1444966","1500","0","0","11","23"
"08","10624960","5810","0","0","0","79"
"09","17463852.7","3851470","484846","2850000","0","150"
"10","28000","0","0","0","0","1"
"11","1567860","13831","0","0","13195","22"
"12","5139726.5","9","0","0","960","23"
"13","408694.5","1","0","0","1590","6554"
"14","3930824","58278","80555.6","0","23144","1436"
"15","6611418.6","186265","10","0","181","649"
"16","250","0","0","0","25","7"
"17","140","2","0","0","19","0"
"18","0","0","0","0","105","401"
"19","2650471.5","180797","0","0","0","0"
"20","327136.5","1","0","0","15","848"
"21","1281643","0","0","0","8","0"
"22","88300.5","100","0","0","0","6"
"23","2204023","199299","82690.16","0","52","98"
"24","88676","0","0","0","340","659"
"25","81894","78000","0","0","0","2901"
"26","39740356.54","158256","0","0","1","1"
"27","70780","0","0","0","31","0"
"28","1170466.5","11076","0","0","0","0"
"29","80015","11","0","0","0","0"
"30","1716397.5","18","0","0","259","7"
"31","16285","0","0","0","3","10"
"32","11011","0","0","0","28","5"
"99","","","","","",""
