entidad,vehrobtt,vehrob1,vehrob2,vehrob3,vehrob4,vehrob5,vehrob6,vehrob7,vehrob8
"01","259","80","179","80","179","0","0","0","0"
"02","813","606","207","606","205","0","0","0","2"
"03","474","191","283","191","283","0","0","0","0"
"04","462","79","383","79","382","0","0","0","1"
"05","409","66","343","66","341","0","2","0","0"
"06","452","222","230","222","230","0","0","0","0"
"07","401","168","233","168","232","0","1","0","0"
"08","1447","308","1139","308","1139","0","0","0","0"
"09","1370","1015","355","1015","354","0","1","0","0"
"10","442","100","342","100","341","0","1","0","0"
"11","3981","1999","1982","1999","1980","0","2","0","0"
"12","1425","723","702","723","695","0","1","0","6"
"13","730","321","409","321","408","0","0","0","1"
"14","3337","1909","1428","1909","1428","0","0","0","0"
"15","3976","1943","2033","1943","2012","0","21","0","0"
"16","1239","800","439","800","438","0","1","0","0"
"17","602","227","375","227","374","0","1","0","0"
"18","559","150","409","150","409","0","0","0","0"
"19","657","263","394","263","393","0","1","0","0"
"20","685","251","434","251","434","0","0","0","0"
"21","2602","1645","957","1645","957","0","0","0","0"
"22","699","458","241","458","240","0","1","0","0"
"23","672","371","301","371","292","0","7","0","2"
"24","1105","341","764","341","764","0","0","0","0"
"25","1054","559","495","559","493","0","1","0","1"
"26","1076","384","692","384","687","0","5","0","0"
"27","609","309","300","309","300","0","0","0","0"
"28","1635","742","893","742","893","0","0","0","0"
"29","740","454","286","454","286","0","0","0","0"
"30","2789","1505","1284","1505","1284","0","0","0","0"
"31","211","84","127","84","127","0","0","0","0"
"32","650","200","450","200","450","0","0","0","0"
"99","","","","","","","","",""
