"Censo Nacional de Seguridad Pública Federal 2019
Módulo 2: Seguridad Pública Federal
Tema: Ejercicio de la función de seguridad pública federal",,,,,,,,
"Archivo: TRASLADO.dbf (Contiene variables que caracterizan a la Policía Federal de acuerdo con los traslados realizados, durante el año 2018.)",,,,,,,,
"Núm.de 
campo","Nombre de 
la columna",Origen,Descripción,"Tipo de 
dato",Longitud,Códigos válidos en la columna,,"Rango
(Los valores NA, NSS y ND equivalen a No aplica, No se sabe y No disponible, respectivamente)"
1,TOTALCA1,SECC I. 1,"La cantidad de traslados realizados por la Policía Federal, durante el año 2018.",Carácter,20,,,"0-999999999999999, NA, NSS, ND, NULL"
,,,,,,,,
"Censo Nacional de Seguridad Pública Federal 2019
Módulo 2: Seguridad Pública Federal
Tema: Ejercicio de la función de seguridad pública federal",,,,,,,,
"Archivo: TRASL_PF.dbf (Contiene variables que caracterizan a la Policía Federal de acuerdo con los traslados realizados, según entidad federativa donde se realizaron, durante el año 2018.)",,,,,,,,
"Núm.de 
campo","Nombre de 
la columna",Origen,Descripción,"Tipo de 
dato",Longitud,Códigos válidos en la columna,,"Rango
(Los valores NA, NSS y ND equivalen a No aplica, No se sabe y No disponible, respectivamente)"
1,ENTIDAD,SECC I. 2,"Clasificación de la Policía Federal de acuerdo con los traslados realizados, según entidad federativa donde se realizaron, durante el año 2018.",Carácter,2,01,Aguascalientes,
,,,,,,02,Baja California,
,,,,,,03,Baja California Sur,
,,,,,,04,Campeche,
,,,,,,05,Coahuila de Zaragoza,
,,,,,,06,Colima,
,,,,,,07,Chiapas,
,,,,,,08,Chihuahua,
,,,,,,09,Ciudad de México,
,,,,,,10,Durango,
,,,,,,11,Guanajuato,
,,,,,,12,Guerrero,
,,,,,,13,Hidalgo,
,,,,,,14,Jalisco,
,,,,,,15,México,
,,,,,,16,Michoacán de Ocampo,
,,,,,,17,Morelos,
,,,,,,18,Nayarit,
,,,,,,19,Nuevo León,
,,,,,,20,Oaxaca,
,,,,,,21,Puebla,
,,,,,,22,Querétaro,
,,,,,,23,Quintana Roo,
,,,,,,24,San Luis Potosí,
,,,,,,25,Sinaloa,
,,,,,,26,Sonora,
,,,,,,27,Tabasco,
,,,,,,28,Tamaulipas,
,,,,,,29,Tlaxcala,
,,,,,,30,Veracruz de Ignacio de la Llave,
,,,,,,31,Yucatán,
,,,,,,32,Zacatecas,
,,,,,,99,No especificado,
2,TOTALCA1,SECC I. 2,"La cantidad de traslados realizados por la Policía Federal, según entidad federativa donde se realizaron, durante el año 2018.",Carácter,20,,,"0-999999999999999, NA, NSS, ND, NULL"
,,,,,,,,
"Censo Nacional de Seguridad Pública Federal 2019
Módulo 2: Seguridad Pública Federal
Tema: Ejercicio de la función de seguridad pública federal",,,,,,,,
"Archivo: ACC_AUTO.dbf (Contiene variables que caracterizan a la Policía Federal de acuerdo con las acciones realizadas en colaboración con autoridades nacionales, según entidad federativa de ocurrencia y tipo de autoridad que efectuó la solicitud, durante el año 2018.)",,,,,,,,
"Núm.de 
campo","Nombre de 
la columna",Origen,Descripción,"Tipo de 
dato",Longitud,Códigos válidos en la columna,,"Rango
(Los valores NA, NSS y ND equivalen a No aplica, No se sabe y No disponible, respectivamente)"
1,ENTIDAD,SECC I. 3,"Clasificación de la Policía Federal de acuerdo con las acciones realizadas en colaboración con autoridades nacionales, según entidad federativa de ocurrencia, durante el año 2018.",Carácter,2,01,Aguascalientes,
,,,,,,02,Baja California,
,,,,,,03,Baja California Sur,
,,,,,,04,Campeche,
,,,,,,05,Coahuila de Zaragoza,
,,,,,,06,Colima,
,,,,,,07,Chiapas,
,,,,,,08,Chihuahua,
,,,,,,09,Ciudad de México,
,,,,,,10,Durango,
,,,,,,11,Guanajuato,
,,,,,,12,Guerrero,
,,,,,,13,Hidalgo,
,,,,,,14,Jalisco,
,,,,,,15,México,
,,,,,,16,Michoacán de Ocampo,
,,,,,,17,Morelos,
,,,,,,18,Nayarit,
,,,,,,19,Nuevo León,
,,,,,,20,Oaxaca,
,,,,,,21,Puebla,
,,,,,,22,Querétaro,
,,,,,,23,Quintana Roo,
,,,,,,24,San Luis Potosí,
,,,,,,25,Sinaloa,
,,,,,,26,Sonora,
,,,,,,27,Tabasco,
,,,,,,28,Tamaulipas,
,,,,,,29,Tlaxcala,
,,,,,,30,Veracruz de Ignacio de la Llave,
,,,,,,31,Yucatán,
,,,,,,32,Zacatecas,
,,,,,,99,No especificado,
2,AUTORNTT,SECC I. 3,"La cantidad de acciones realizadas por la Policía Federal en colaboración con autoridades nacionales, según entidad federativa de ocurrencia y tipo de autoridad que efectuó la solicitud, durante el año 2018.",Carácter,20,,Total,"0-999999999999999, NA, NSS, ND, NULL"
3,AUTORN1,,,Carácter,20,,Gobierno estatal,"0-999999999999999, NA, NSS, ND, NULL"
4,AUTORN2,,,Carácter,20,,Gobiernos municipales,"0-999999999999999, NA, NSS, ND, NULL"
5,AUTORN3,,,Carácter,20,,Procuraduría General de la República (PGR),"0-999999999999999, NA, NSS, ND, NULL"
6,AUTORN4,,,Carácter,20,,Secretaría de la Defensa Nacional (SEDENA),"0-999999999999999, NA, NSS, ND, NULL"
