ARCHIVO,CONTENIDO
m2p1_22,"Armas aseguradas por la Guardia Nacional, según tipo, durante el año 2019."
m2p1_23,"Armas aseguradas por la Guardia Nacional, según entidad federativa de ocurrencia y tipo, durante el año 2019."
m2p1_23_anexo,"Armas aseguradas por la Guardia Nacional, según municipio o demarcación territorial de ocurrencia y tipo, durante el año 2019."
m2p1_24,"Hidrocarburos asegurados por la Guardia Nacional, según tipo, durante el año 2019."
m2p1_25,"Hidrocarburos asegurados por la Guardia Nacional, según entidad federativa de ocurrencia y tipo, durante el año 2019."
m2p1_25_anexo,"Hidrocarburos asegurados por la Guardia Nacional, según municipio o demarcación territorial de ocurrencia y tipo, durante el año 2019."
m2p1_26,"Tomas clandestinas de hidrocarburos aseguradas por la Guardia Nacional, según entidad federativa de ocurrencia, durante el año 2019."
m2p1_26_anexo,"Tomas clandestinas de hidrocarburos aseguradas por la Guardia Nacional, según municipio o demarcación territorial de ocurrencia, durante el año 2019."
m2p1_27,"Volumen de narcóticos asegurado por la Guardia Nacional, según tipo de narcótico y unidad de medida, durante el año 2019."
m2p1_28,"Volumen de narcóticos asegurado por la Guardia Nacional, según entidad federativa de ocurrencia, tipo de narcótico y unidad de medida, durante el año 2019."
m2p1_28_anexo,"Volumen de narcóticos asegurado por la Guardia Nacional, según municipio o demarcación territorial de ocurrencia, tipo de narcótico y unidad de medida, durante el año 2019."
m2p1_29,"Plantíos ilícitos erradicados por la Guardia Nacional, según entidad federativa de localización y tipo de cultivo, durante el año 2019."
m2p1_29_anexo,"Plantíos ilícitos erradicados por la Guardia Nacional, según municipio o demarcación territorial de localización y tipo de cultivo, durante el año 2019."
m2p1_30,"Vehículos asegurados por la Guardia Nacional, según tipo reporte y tipo de vehículo, durante el año 2019."
m2p1_31,"Vehículos asegurados por la Guardia Nacional, según entidad federativa de ocurrencia, tipo de vehículo y tipo de reporte, durante el año 2019."
m2p1_31_anexo,"Vehículos asegurados por la Guardia Nacional, según municipio o demarcación territorial de ocurrencia, tipo de vehículo y tipo de reporte, durante el año 2019."
m2p1_32,"Mercancía apócrifa o pirata asegurada por la Guardia Nacional, según tipo y unidad de medida, durante el año 2019."
m2p1_33,"Mercancía apócrifa o pirata asegurada por la Guardia Nacional, según entidad federativa de ocurrencia y tipo, durante el año 2019."
m2p1_33_anexo,"Mercancía apócrifa o pirata asegurada por la Guardia Nacional, según municipio o demarcación territorial de ocurrencia y tipo, durante el año 2019."
m2p1_34a,"Otros bienes asegurados (Metales) por la Guardia Nacional, según unidad de medida y tipo, durante el año 2019."
m2p1_34b,"Otros bienes asegurados (Dinero o Fauna) por la Guardia Nacional, según tipo, durante el año 2019."
m2p1_34c,"Otros bienes asegurados (Equipos de comunicación) por la Guardia Nacional, según tipo, durante el año 2019."
m2p1_35a,"Otros bienes asegurados (Metales) por la Guardia Nacional, según entidad federativa de ocurrencia, tipo y unidad de medida, durante el año 2019."
m2p1_35b,"Otros bienes asegurados (Dinero o Fauna) por la Guardia Nacional, según entidad federativa de ocurrencia y tipo, durante el año 2019."
m2p1_35c,"Otros bienes asegurados (Equipos de comunicación) por la Guardia Nacional, según entidad federativa de ocurrencia y tipo, durante el año 2019."
