entidad_a,hidroc1,hidroc2,hidroc3,hidroc4,hidroc5,hidroc6
1,0,0,0,0,0,0
2,22450,0,22487,79761,0,38837
3,0,0,0,0,0,0
4,32992,0,0,2000,0,0
5,131408,0,0,0,0,38000
6,3900,0,0,0,0,0
7,0,0,0,0,0,2000
8,131420,0,33717,0,0,0
9,435,0,0,0,0,0
10,65631,0,44000,0,0,38
11,0,0,0,0,0,77000
12,0,0,0,4000,0,0
13,32587,0,43300,114035,0,0
14,0,0,0,0,0,0
15,138689,0,1000,206130,0,0
16,40850,0,12614,2800,0,0
17,0,0,0,0,0,3000
18,0,0,0,0,0,0
19,692235,0,169200,55100,0,163530
20,0,0,15600,0,0,15000
21,0,0,1524,44620,0,42390
22,0,0,0,7800,0,135850
23,0,0,0,13500,0,0
24,1140,0,0,0,0,0
25,20000,0,0,0,0,0
26,5811,0,0,0,0,771
27,32000,42000,243,0,0,556030
28,121000,0,0,0,60010,0
29,0,0,0,0,0,0
30,2008,0,134000,18385,0,0
31,0,0,0,0,0,100
32,0,0,30000,0,0,0
99,,,,,,
