entidad_c,entifed1,ubicageo_d,municip1,totalca1
1,AGUASCALIENTES,1001,AGUASCALIENTES,0
1,AGUASCALIENTES,1002,ASIENTOS,0
1,AGUASCALIENTES,1003,CALVILLO,0
1,AGUASCALIENTES,1004,COSIO,0
1,AGUASCALIENTES,1005,JESUS MARIA,0
1,AGUASCALIENTES,1006,PABELLON DE ARTEAGA,0
1,AGUASCALIENTES,1007,RINCON DE ROMOS,0
1,AGUASCALIENTES,1008,SAN JOSE DE GRACIA,0
1,AGUASCALIENTES,1009,TEPEZALA,0
1,AGUASCALIENTES,1010,EL LLANO,0
1,AGUASCALIENTES,1011,SAN FRANCISCO DE LOS ROMO,0
1,AGUASCALIENTES,1997,NO ESPECIFICADO,
2,BAJA CALIFORNIA,2001,ENSENADA,3
2,BAJA CALIFORNIA,2002,MEXICALI,0
2,BAJA CALIFORNIA,2003,TECATE,3
2,BAJA CALIFORNIA,2004,TIJUANA,0
2,BAJA CALIFORNIA,2005,PLAYAS DE ROSARITO,0
2,BAJA CALIFORNIA,2997,NO ESPECIFICADO,
3,BAJA CALIFORNIA SUR,3001,COMONDU,0
3,BAJA CALIFORNIA SUR,3002,MULEGE,0
3,BAJA CALIFORNIA SUR,3003,LA PAZ,0
3,BAJA CALIFORNIA SUR,3008,LOS CABOS,0
3,BAJA CALIFORNIA SUR,3009,LORETO,0
3,BAJA CALIFORNIA SUR,3997,NO ESPECIFICADO,
4,CAMPECHE,4001,CALKINI,0
4,CAMPECHE,4002,CAMPECHE,0
4,CAMPECHE,4003,CARMEN,0
4,CAMPECHE,4004,CHAMPOTON,0
4,CAMPECHE,4005,HECELCHAKAN,0
4,CAMPECHE,4006,HOPELCHEN,0
4,CAMPECHE,4007,PALIZADA,0
4,CAMPECHE,4008,TENABO,0
4,CAMPECHE,4009,ESCARCEGA,0
4,CAMPECHE,4010,CALAKMUL,0
4,CAMPECHE,4011,CANDELARIA,0
4,CAMPECHE,4997,NO ESPECIFICADO,
5,COAHUILA DE ZARAGOZA,5001,ABASOLO,0
5,COAHUILA DE ZARAGOZA,5002,ACUÑA,0
5,COAHUILA DE ZARAGOZA,5003,ALLENDE,0
5,COAHUILA DE ZARAGOZA,5004,ARTEAGA,0
5,COAHUILA DE ZARAGOZA,5005,CANDELA,0
5,COAHUILA DE ZARAGOZA,5006,CASTAÑOS,3
5,COAHUILA DE ZARAGOZA,5007,CUATRO CIENEGAS,0
5,COAHUILA DE ZARAGOZA,5008,ESCOBEDO,0
5,COAHUILA DE ZARAGOZA,5009,FRANCISCO I MADERO,0
5,COAHUILA DE ZARAGOZA,5010,FRONTERA,0
5,COAHUILA DE ZARAGOZA,5011,GENERAL CEPEDA,0
5,COAHUILA DE ZARAGOZA,5012,GUERRERO,0
5,COAHUILA DE ZARAGOZA,5013,HIDALGO,0
5,COAHUILA DE ZARAGOZA,5014,JIMENEZ,0
5,COAHUILA DE ZARAGOZA,5015,JUAREZ,0
5,COAHUILA DE ZARAGOZA,5016,LAMADRID,0
5,COAHUILA DE ZARAGOZA,5017,MATAMOROS,1
5,COAHUILA DE ZARAGOZA,5018,MONCLOVA,0
5,COAHUILA DE ZARAGOZA,5019,MORELOS,0
5,COAHUILA DE ZARAGOZA,5020,MUZQUIZ,0
5,COAHUILA DE ZARAGOZA,5021,NADADORES,0
5,COAHUILA DE ZARAGOZA,5022,NAVA,0
5,COAHUILA DE ZARAGOZA,5023,OCAMPO,0
5,COAHUILA DE ZARAGOZA,5024,PARRAS,0
5,COAHUILA DE ZARAGOZA,5025,PIEDRAS NEGRAS,0
5,COAHUILA DE ZARAGOZA,5026,PROGRESO,0
5,COAHUILA DE ZARAGOZA,5027,RAMOS ARIZPE,0
5,COAHUILA DE ZARAGOZA,5028,SABINAS,0
5,COAHUILA DE ZARAGOZA,5029,SACRAMENTO,0
5,COAHUILA DE ZARAGOZA,5030,SALTILLO,0
5,COAHUILA DE ZARAGOZA,5031,SAN BUENAVENTURA,0
5,COAHUILA DE ZARAGOZA,5032,SAN JUAN DE SABINAS,0
5,COAHUILA DE ZARAGOZA,5033,SAN PEDRO,0
5,COAHUILA DE ZARAGOZA,5034,SIERRA MOJADA,0
5,COAHUILA DE ZARAGOZA,5035,TORREON,0
5,COAHUILA DE ZARAGOZA,5036,VIESCA,0
5,COAHUILA DE ZARAGOZA,5037,VILLA UNION,0
5,COAHUILA DE ZARAGOZA,5038,ZARAGOZA,0
5,COAHUILA DE ZARAGOZA,5997,NO ESPECIFICADO,
6,COLIMA,6001,ARMERIA,0
6,COLIMA,6002,COLIMA,0
6,COLIMA,6003,COMALA,0
6,COLIMA,6004,COQUIMATLAN,0
6,COLIMA,6005,CUAUHTEMOC,0
6,COLIMA,6006,IXTLAHUACAN,0
6,COLIMA,6007,MANZANILLO,0
6,COLIMA,6008,MINATITLAN,0
6,COLIMA,6009,TECOMAN,0
6,COLIMA,6010,VILLA DE ALVAREZ,0
6,COLIMA,6997,NO ESPECIFICADO,
7,CHIAPAS,7001,ACACOYAGUA,0
7,CHIAPAS,7002,ACALA,0
7,CHIAPAS,7003,ACAPETAHUA,0
7,CHIAPAS,7004,ALTAMIRANO,0
7,CHIAPAS,7005,AMATAN,0
7,CHIAPAS,7006,AMATENANGO DE LA FRONTERA,0
7,CHIAPAS,7007,AMATENANGO DEL VALLE,0
7,CHIAPAS,7008,ANGEL ALBINO CORZO,0
7,CHIAPAS,7009,ARRIAGA,0
7,CHIAPAS,7010,BEJUCAL DE OCAMPO,0
7,CHIAPAS,7011,BELLA VISTA,0
7,CHIAPAS,7012,BERRIOZABAL,0
7,CHIAPAS,7013,BOCHIL,0
7,CHIAPAS,7014,EL BOSQUE,0
7,CHIAPAS,7015,CACAHOATAN,0
7,CHIAPAS,7016,CATAZAJA,0
7,CHIAPAS,7017,CINTALAPA,0
7,CHIAPAS,7018,COAPILLA,0
7,CHIAPAS,7019,COMITAN DE DOMINGUEZ,0
7,CHIAPAS,7020,LA CONCORDIA,0
7,CHIAPAS,7021,COPAINALA,0
7,CHIAPAS,7022,CHALCHIHUITAN,0
7,CHIAPAS,7023,CHAMULA,0
7,CHIAPAS,7024,CHANAL,0
7,CHIAPAS,7025,CHAPULTENANGO,0
7,CHIAPAS,7026,CHENALHO,0
7,CHIAPAS,7027,CHIAPA DE CORZO,0
7,CHIAPAS,7028,CHIAPILLA,0
7,CHIAPAS,7029,CHICOASEN,0
7,CHIAPAS,7030,CHICOMUSELO,0
