entidad_c,entifed1,ubicageo_d,municip1,narcum1,narcum2,narcum3,narcum4,narcum5,narcum6,narcum8,narcum9,narcum10,narcum11,narcum12,narcum13,narcum15,narcum16,narcum17,narcum18,narcum19,narcum20,narcum21,narcum22,narcum23,narcum24
1,AGUASCALIENTES,1001,AGUASCALIENTES AGS,.000004,48.88,48.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1002,ASIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1003,CALVILLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1004,COSIO AGS,0,3.21832,3.21832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,AGUASCALIENTES,1005,JESUS MARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1006,PABELLON DE ARTEAGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1007,RINCON DE ROMOS AGS,0,8.505,8.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1008,SAN JOSE DE GRACIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1009,TEPEZALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1010,EL LLANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1011,SAN FRANCISCO DE LOS ROMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1997,NO ESPECIFICADO,,,,,,,,,,,,,,,,,,,,,,
2,BAJA CALIFORNIA,2001,ENSENADA BCN,0,1101.474909,1063.6049,36.870009,1,0,13,0,0,13,0,0,0,0,0,0,0,740.373,0,0,5.42,13138
2,BAJA CALIFORNIA,2002,MEXICALI BCN,.047003,482.865,479.005,3.86,0,0,10.1522,0,0,10.1522,0,0,0,0,0,0,0,946.0151,0,0,7.149802,25704
2,BAJA CALIFORNIA,2003,TECATE BCN,0,4.20004,4.20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
