entidad_a,narcum1,narcum2,narcum3,narcum4,narcum5,narcum6,narcum8,narcum9,narcum10,narcum11,narcum12,narcum13,narcum15,narcum16,narcum17,narcum18,narcum19,narcum20,narcum21,narcum22,narcum23,narcum24
1,.000004,60.60332,60.60332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
2,42.126503,1707.250387,1665.520378,40.730009,1,0,44.6342,0,0,44.6342,0,0,0,0,0,0,0,1984.412116,600,0,12.965802,52184
3,.29234,17.019158,16.668718,.00044,0,.35,0,0,0,0,0,0,0,0,0,0,0,8.0649,0,0,0,0
4,1327.92761,.05021,.05021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,.06,8895.851,8895.849,.002,0,0,0,0,0,0,0,0,0,0,0,0,0,.12,0,0,0,0
6,0,31.414,31.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.15,0,0,0,0
7,120.2097,16.565,16.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.274473,1174.473745,1174.473745,0,0,0,1.3988,0,0,1.3988,0,0,0,0,0,0,0,3.0328,0,174,0,0
9,141.877814,459.161381,458.301851,.77953,.08,0,34.4062,0,3.201,31.2052,0,0,.001,0,0,0,0,92.115,834,0,13.746,0
10,.065,955.163,955.163,0,0,0,24.6,0,15,9.6,0,0,0,0,0,0,0,0,0,0,0,0
11,.0535,773.934336,773.934336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3,0,43,0,0
12,.0225,721.22955,721.22955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,.0187,91.144605,91.144605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4.500105,2545.0525,2544.4205,.022,.61,0,.3,0,0,.3,0,0,.005,0,0,0,0,111.304,0,105,.241,0
15,.28687,1035.4742,1035.4742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.001,0,0,0,0
16,0,393.0714,393.0714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.375,0,0,0,0
17,.0077,.3733,.3733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0
18,1.02355,100.592,100.592,0,0,0,297.177,0,297.177,0,0,0,0,0,0,0,0,0,0,0,0,0
19,51.8053,1742.065,1742.062,.003,0,0,4.1019,0,0,4.1019,0,0,0,0,0,0,0,5.252,191,0,0,0
20,.0092,487.833155,487.579155,.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,.016007,310.032,310.032,0,0,0,.644,0,.061,.583,0,0,0,0,0,0,0,0,0,0,0,0
22,1.572,72.181467,71.761467,.42,0,0,.78,0,0,.78,0,0,0,0,0,0,0,.053,134,0,0,3369
23,371.6558,575.944159,575.827159,0,.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0
24,14.237,1018.475238,1017.945738,.0035,.526,0,22.786,0,19.102,3.684,0,0,0,0,0,0,0,.47,0,123,.06,0
25,.386,326.3895,321.1055,0,5.284,0,13.904,0,4.335,9.569,0,0,0,0,0,0,0,131.36705,0,0,.344,5187
26,126.274181,1452.112707,1452.056675,.056032,0,0,67.096,0,3.5,63.596,0,0,0,0,0,0,0,688.0979,350,203,29.1,157319
27,105.4,.01026,.01026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,30.1,145.126,145.126,0,0,0,15.188,0,0,15.188,0,0,0,0,0,0,0,45.2828,0,0,0,0
29,.002,.664282,.664282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.047001,935.459005,935.459005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,.008,52.047165,52.047165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18532,450,0,0
32,.97,1240.015,1240.015,0,0,0,13.765,0,0,13.765,0,0,0,0,0,0,0,0,0,0,4.795,0
99,,,,,,,,,,,,,,,,,,,,,,
