entidad_a,vehreptt,vehrep1,vehrep2,vehrep3,vehreps1,vehrep4,vehrep5,vehrep6,vehreps2,vehrep8,vehrep9,vehrep10,vehreps3,vehrep12,vehrep13,vehrep14
1,110,26,84,0,0,0,0,0,0,0,0,0,110,26,84,0
2,619,410,209,0,0,0,0,0,0,0,0,0,619,410,209,0
3,182,71,111,0,0,0,0,0,0,0,0,0,182,71,111,0
4,303,89,214,0,3,0,3,0,1,0,1,0,299,89,210,0
5,269,69,200,0,0,0,0,0,0,0,0,0,269,69,200,0
6,236,141,95,0,0,0,0,0,0,0,0,0,236,141,95,0
7,365,124,241,0,2,0,2,0,1,0,1,0,362,124,238,0
8,828,87,741,0,0,0,0,0,0,0,0,0,828,87,741,0
9,237,126,111,0,0,0,0,0,0,0,0,0,237,126,111,0
10,347,92,255,0,0,0,0,0,0,0,0,0,347,92,255,0
11,1734,1140,594,0,0,0,0,0,0,0,0,0,1734,1140,594,0
12,333,179,154,0,0,0,0,0,0,0,0,0,333,179,154,0
13,466,286,180,0,0,0,0,0,0,0,0,0,466,286,180,0
14,1479,900,579,0,0,0,0,0,0,0,0,0,1479,900,579,0
15,1676,809,867,0,9,0,9,0,0,0,0,0,1667,809,858,0
16,525,303,222,0,0,0,0,0,0,0,0,0,525,303,222,0
17,419,112,307,0,0,0,0,0,0,0,0,0,419,112,307,0
18,349,144,205,0,0,0,0,0,0,0,0,0,349,144,205,0
19,483,129,354,0,0,0,0,0,0,0,0,0,483,129,354,0
20,409,134,275,0,0,0,0,0,0,0,0,0,409,134,275,0
21,858,536,322,0,1,0,1,0,0,0,0,0,857,536,321,0
22,491,311,180,0,1,0,1,0,0,0,0,0,490,311,179,0
23,270,121,149,0,0,0,0,0,0,0,0,0,270,121,149,0
24,676,244,432,0,0,0,0,0,0,0,0,0,676,244,432,0
25,933,491,442,0,0,0,0,0,0,0,0,0,933,491,442,0
26,472,145,327,0,10,0,10,0,1,0,1,0,461,145,316,0
27,595,159,436,0,0,0,0,0,0,0,0,0,595,159,436,0
28,372,177,195,0,0,0,0,0,0,0,0,0,372,177,195,0
29,329,233,96,0,0,0,0,0,0,0,0,0,329,233,96,0
30,968,607,361,0,0,0,0,0,0,0,0,0,968,607,361,0
31,170,83,87,0,0,0,0,0,1,0,1,0,169,83,86,0
32,219,93,126,0,1,0,1,0,0,0,0,0,218,93,125,0
99,,,,,,,,,,,,,,,,
