entidad_a,meappitt,meappi1,meappi2,meappi3,meappi4,meappi5,meappi6,meappi7,meappi8,meappi9,meappi10,meappi11,meappi12,meappi13,meappi14,meappi15,meappi16,meappi17,meappi18,meappi19,meappi20,meappi21,meappi22,meappi23,meappi24,meappi25
1,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
2,6858,0,574,443,0,NA,0,0,0,NA,NA,NA,621,NA,0,0,NA,10,123,1766,0,0,3000,NA,NA,321
3,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
4,396,0,105,65,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,226,0,0,0,0,NA,NA,0
5,1,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,1
6,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
7,982,0,76,5,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,901
8,125,0,0,125,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
9,318,0,102,48,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,168
10,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
11,4151,257,3741,87,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,66
12,80000,0,0,0,0,NA,0,0,0,NA,NA,NA,80000,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
13,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
14,1288,470,90,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,728
15,19209,0,0,5698,15,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,50,0,350,0,NA,NA,13096
16,3694,0,2349,1268,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,9,18,0,0,0,0,NA,NA,50
17,1,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,1
18,1450,0,0,0,0,NA,0,400,1050,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
19,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
20,2130,0,597,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,1533
21,172,0,0,172,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
22,207,0,207,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
23,5261,680,1276,82,0,NA,0,340,2246,NA,NA,NA,490,NA,6,3,NA,0,138,0,0,0,0,NA,NA,0
24,4226,0,1020,3,0,NA,0,0,0,NA,NA,NA,3200,NA,0,0,NA,0,0,0,0,0,0,NA,NA,3
25,224,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,16,0,NA,0,208,0,0,0,0,NA,NA,0
26,100546,25,230,113,0,NA,3,0,0,NA,NA,NA,99600,NA,0,372,NA,0,32,0,0,0,0,NA,NA,171
27,669,0,0,166,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,503
28,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
29,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
30,2082,10,103,0,0,NA,0,950,900,NA,NA,NA,0,NA,0,0,NA,2,60,0,3,0,0,NA,NA,54
31,31152,92,808,4156,0,NA,0,0,0,NA,NA,NA,25000,NA,0,0,NA,0,0,830,0,86,0,NA,NA,180
32,72,0,72,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0
99,,,,,,,,,,,,,,,,,,,,,,,,,,
