entidad_a,armatitt,armatis1,armati1,armati2,armati4,armati5,armatis2,armati6,armati7,armatis3,armati9,armati10,armati11,armati12,armati14,armatis4,armati15,armati16,armati18
1,7,0,0,0,0,0,0,0,0,6,0,6,0,0,0,1,1,0,0
2,1935,41,10,31,0,0,0,0,0,1893,0,1893,0,0,0,0,0,0,1
3,54,0,0,0,0,0,0,0,0,54,0,54,0,0,0,0,0,0,0
4,45,5,0,5,0,0,0,0,0,39,0,39,0,0,0,0,0,0,1
5,1555,10,1,9,0,0,0,0,0,1545,0,1545,0,0,0,0,0,0,0
6,134,8,2,6,0,0,0,0,0,122,0,122,0,0,0,2,2,0,2
7,223,11,4,7,0,0,0,0,0,212,0,212,0,0,0,0,0,0,0
8,50010,84,30,54,0,0,26,26,0,49900,0,49900,0,0,0,0,0,0,0
9,8029,41,5,36,0,0,0,0,0,7981,0,7981,0,0,0,0,0,0,7
10,175,8,3,5,0,0,0,0,0,167,0,167,0,0,0,0,0,0,0
11,2562,26,5,21,0,0,2,2,0,2506,0,2506,0,0,0,3,1,2,25
12,1436,31,15,16,0,0,0,0,0,1404,0,1404,0,0,0,0,0,0,1
13,384,27,5,22,0,0,0,0,0,351,0,351,0,0,0,1,1,0,5
14,971,38,7,31,0,0,0,0,0,929,0,929,0,0,0,3,2,1,1
15,2471,137,15,122,0,0,1,1,0,2263,0,2257,6,0,0,41,5,36,29
16,1637,40,14,26,0,0,0,0,0,1597,0,1597,0,0,0,0,0,0,0
17,136,13,0,13,0,0,0,0,0,123,0,123,0,0,0,0,0,0,0
18,2363,11,3,8,0,0,0,0,0,2350,0,2350,0,0,0,1,1,0,1
19,2789,19,3,16,0,0,9,9,0,2759,0,2759,0,0,0,0,0,0,2
20,21161,32,6,26,0,0,3,3,0,21123,0,21123,0,0,0,1,0,1,2
21,517,40,9,31,0,0,0,0,0,467,0,467,0,0,0,4,4,0,6
22,238,22,4,18,0,0,0,0,0,212,0,212,0,0,0,0,0,0,4
23,771,13,8,5,0,0,0,0,0,758,0,758,0,0,0,0,0,0,0
24,1553,26,12,14,0,0,1,1,0,1519,0,1519,0,0,0,3,3,0,4
25,237,8,1,7,0,0,0,0,0,225,0,225,0,0,0,0,0,0,4
26,290967,126,78,48,0,0,53,53,0,290788,0,290788,0,0,0,0,0,0,0
27,414,17,0,17,0,0,0,0,0,396,0,396,0,0,0,0,0,0,1
28,5773,80,36,44,0,0,0,0,0,5692,0,5692,0,0,0,1,1,0,0
29,85,9,3,6,0,0,0,0,0,74,0,74,0,0,0,2,2,0,0
30,225,19,2,17,0,0,0,0,0,206,0,206,0,0,0,0,0,0,0
31,703,5,0,5,0,0,0,0,0,698,0,698,0,0,0,0,0,0,0
32,737,16,11,5,0,0,0,0,0,721,0,721,0,0,0,0,0,0,0
99,,,,,,,,,,,,,,,,,,,
