entidad_a,hidroc1,hidroc2,hidroc3,hidroc4,hidroc5,hidroc6
1,0,0,0,2750,0,0
2,228339.599998474,0,82122,33951,0,1158
3,0,0,0,0,0,0
4,1037,0,0,7800,0,500
5,255528,0,70800,0,0,0
6,5000,0,0,0,0,6736
7,0,0,12000,17040,0,342400
8,103306,0,34253,180,0,30185
9,132,0,0,2000,0,11513
10,698876.849998474,0,103095,0,0,920
11,0,0,15125,0,42700,0
12,0,0,0,0,0,0
13,60000,0,19933,94032,0,11700
14,733769,0,64000,0,0,0
15,57859,0,104278,147127,0,13485
16,0,0,40000,0,0,300
17,0,0,0,0,0,10000
18,0,0,0,0,0,0
19,1884480.3984375,0,932765,140900,0,603637
20,31.5020008087158,0,0,2500,0,8000
21,51900,0,75766,92065,15500,549
22,33900,0,0,4900,0,63200
23,0,0,0,0,0,32500
24,204652,0,0,16509,0,44080
25,86000,0,0,0,0,0
26,1800,0,630,0,0,250
27,40400,179970,50000,47250,107500,610783
28,642707,0,70850,40551,0,309871.19921875
29,0,0,0,0,0,0
30,82001,0,106700,28750,0,40000
31,0,0,0,0,0,0
32,43000,0,0,0,0,0
99,.0000000032842,,,,,
