entidad_a,tinaum1,tinaum2,tinaum3,tinaum4,tinaum5,tinaum6,tinaum8,tinaum9,tinaum10,tinaum11,tinaum12,tinaum13,tinaum15,tinaum16,tinaum17,tinaum18,tinaum19,tinaum20,tinaum21,tinaum22,tinaum23,tinaum24
1,.005,.005,.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,.378,4478.20257,4478.20257,0,0,0,31.131005,.01,0,31.121005,0,0,0,0,0,0,0,855.587,0,3121,21.12,750
3,.0077,39.123994,38.256494,.8675,0,0,0,0,0,0,0,0,0,0,0,0,0,.8,0,0,0,50
4,.0015,25.126936,25.126936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000006,0,0,0,0
5,.026,6013.659,6013.179,.48,0,0,0,0,0,0,0,0,0,0,0,0,0,.108,15,3,0,0
6,0,17.479001,17.479001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.001424,0,0,0,0
7,.006,69.9778,69.9778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29846,0,0
8,37.291686,1211.990994,1211.939994,.05,.001,0,10.7635,0,0,10.7635,0,0,.166002,0,0,0,0,9.295001,80,148,2.1,24057
9,15.731006,210.104038,207.464038,2.64,0,0,42.07,0,29.01,.06,0,13,0,0,0,0,0,35.069,27,0,10.97,0
10,1.588062,2780.552008,2780.552008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.203073,0,0,6.5,0
11,.002,2701.64716,2701.64716,0,0,0,1.172,0,0,1.172,0,0,0,0,0,0,0,1.002,0,10,0,0
12,.002,333.3552,333.3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.185805,493.113005,493.113005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2.505,1561.456642,1561.422642,.034,0,0,.5,0,0,.5,0,0,.002,0,0,0,0,1.334,601,0,0,0
15,5.26443,3674.9749,3674.9749,0,0,0,15.006,0,15.006,0,0,0,0,0,0,0,0,.05205,16,21,0,0
16,.057,472.771732,471.961732,0,.81,0,1.228,0,0,1.228,0,0,0,0,0,0,0,16.895,0,0,0,0
17,.046,2.099285,2.099285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0
18,809.403502,203.466104,203.466104,0,0,0,7.448,0,7.445,.003,0,0,0,0,0,0,0,0,0,0,0,0
19,11.223017,2798.203001,2798.203001,0,0,0,.412,0,0,.412,0,0,0,0,0,0,0,8.389006,90,0,0,40
20,.506079,742.63,729.389,13.241,0,0,3.692,1.56,0,2.132,0,0,0,0,0,0,0,11.28,0,0,0,0
21,.079002,561.334861,561.334861,0,0,0,.3194,0,0,.3194,0,0,0,0,0,0,0,.131,0,57,0,0
22,.0544,88.923004,88.897004,.026,0,0,0,0,0,0,0,0,.001,0,0,0,0,.005,0,2,0,0
23,22.233,201.32501,200.62501,.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,196,0,0
24,7.259,1515.90887,1515.90887,0,0,0,4.708,0,0,4.708,0,0,0,0,0,0,0,.004009,0,11,.003,0
25,112.315,735.756,733.976,0,1.78,0,26.435,0,23.66,2.775,0,0,0,0,0,0,0,30.11,0,0,.6098,20101
26,1.1488,8418.2404,8418.2404,0,0,0,2544.92,2500,3.26,41.66,0,0,0,0,0,0,0,366.609,179,1050,6.42,119050
27,.074009,161.74,161.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.006007,0,0,0,0
28,10.219,1199.265,1199.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.002,0,0,0,0
29,0,21.92,21.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,24.88,24.285,.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
31,2.795049,13.958062,12.772562,1.1855,0,0,0,0,0,0,0,0,.002001,0,0,0,0,.37,0,100,0,0
32,0,1334.815,1334.815,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,1.205,0
99,,,,,,,,,,,,,,,,,,,,,,
