ubicageo_d,entidad_c,entifed1,municip1,mariamtt,mariam1,mariam2
1001,1,AGUASCALIENTES,AGUASCALIENTES,0,0,0
1002,1,AGUASCALIENTES,ASIENTOS,0,0,0
1003,1,AGUASCALIENTES,CALVILLO,0,0,0
1004,1,AGUASCALIENTES,COSÍO,0,0,0
1005,1,AGUASCALIENTES,JESÚS MARÍA,0,0,0
1006,1,AGUASCALIENTES,PABELLÓN DE ARTEAGA,0,0,0
1007,1,AGUASCALIENTES,RINCÓN DE ROMOS,0,0,0
1008,1,AGUASCALIENTES,SAN JOSÉ DE GRACIA,0,0,0
1009,1,AGUASCALIENTES,TEPEZALÁ,0,0,0
1010,1,AGUASCALIENTES,EL LLANO,0,0,0
1011,1,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,0,0,0
1997,1,AGUASCALIENTES,NO ESPECIFICADO,,,
2001,2,BAJA CALIFORNIA,ENSENADA,0,0,0
2002,2,BAJA CALIFORNIA,MEXICALI,0,0,0
2003,2,BAJA CALIFORNIA,TECATE,7,6,1
2004,2,BAJA CALIFORNIA,TIJUANA,0,0,0
2005,2,BAJA CALIFORNIA,PLAYAS DE ROSARITO,0,0,0
2006,2,BAJA CALIFORNIA,SAN QUINTÍN,0,0,0
2997,2,BAJA CALIFORNIA,NO ESPECIFICADO,,,
3001,3,BAJA CALIFORNIA SUR,COMONDÚ,0,0,0
3002,3,BAJA CALIFORNIA SUR,MULEGÉ,0,0,0
3003,3,BAJA CALIFORNIA SUR,LA PAZ,0,0,0
3008,3,BAJA CALIFORNIA SUR,LOS CABOS,0,0,0
3009,3,BAJA CALIFORNIA SUR,LORETO,0,0,0
3997,3,BAJA CALIFORNIA SUR,NO ESPECIFICADO,,,
4001,4,CAMPECHE,CALKINÍ,0,0,0
4002,4,CAMPECHE,CAMPECHE,0,0,0
4003,4,CAMPECHE,CARMEN,0,0,0
4004,4,CAMPECHE,CHAMPOTÓN,0,0,0
4005,4,CAMPECHE,HECELCHAKÁN,0,0,0
4006,4,CAMPECHE,HOPELCHÉN,0,0,0
4007,4,CAMPECHE,PALIZADA,0,0,0
4008,4,CAMPECHE,TENABO,0,0,0
4009,4,CAMPECHE,ESCÁRCEGA,0,0,0
4010,4,CAMPECHE,CALAKMUL,0,0,0
