entidad_a,vehreptt,vehrep1,vehrep2,vehrep3,vehreps1,vehrep4,vehrep5,vehrep6,vehreps2,vehrep8,vehrep9,vehrep10,vehreps3,vehrep12,vehrep13,vehrep14
1,105,45,60,0,0,0,0,0,0,0,0,0,105,45,60,0
2,652,444,208,0,0,0,0,0,0,0,0,0,652,444,208,0
3,256,122,134,0,0,0,0,0,0,0,0,0,256,122,134,0
4,195,55,140,0,0,0,0,0,0,0,0,0,195,55,140,0
5,245,69,176,0,2,2,0,0,0,0,0,0,243,67,176,0
6,174,72,102,0,0,0,0,0,0,0,0,0,174,72,102,0
7,347,122,225,0,4,4,0,0,0,0,0,0,343,118,225,0
8,1194,102,1092,0,1,1,0,0,0,0,0,0,1193,101,1092,0
9,348,221,127,0,0,0,0,0,0,0,0,0,348,221,127,0
10,296,109,187,0,0,0,0,0,0,0,0,0,296,109,187,0
11,1163,730,433,0,1,1,0,0,0,0,0,0,1162,729,433,0
12,173,92,81,0,0,0,0,0,0,0,0,0,173,92,81,0
13,418,192,226,0,0,0,0,0,0,0,0,0,418,192,226,0
14,1421,743,678,0,0,0,0,0,0,0,0,0,1421,743,678,0
15,1454,526,928,0,21,21,0,0,0,0,0,0,1433,505,928,0
16,394,191,203,0,0,0,0,0,0,0,0,0,394,191,203,0
17,438,133,305,0,0,0,0,0,0,0,0,0,438,133,305,0
18,265,73,192,0,0,0,0,0,0,0,0,0,265,73,192,0
19,482,135,347,0,0,0,0,0,0,0,0,0,482,135,347,0
20,463,154,309,0,2,1,1,0,0,0,0,0,461,153,308,0
21,552,333,219,0,3,3,0,0,0,0,0,0,549,330,219,0
22,429,310,119,0,0,0,0,0,0,0,0,0,429,310,119,0
23,242,142,100,0,1,1,0,0,0,0,0,0,241,141,100,0
24,436,248,188,0,0,0,0,0,0,0,0,0,436,248,188,0
25,1153,406,747,0,1,1,0,0,0,0,0,0,1152,405,747,0
26,326,141,185,0,4,4,0,0,0,0,0,0,322,137,185,0
27,276,84,192,0,0,0,0,0,0,0,0,0,276,84,192,0
28,486,217,269,0,0,0,0,0,0,0,0,0,486,217,269,0
29,286,171,115,0,0,0,0,0,0,0,0,0,286,171,115,0
30,787,534,253,0,0,0,0,0,0,0,0,0,787,534,253,0
31,93,65,28,0,0,0,0,0,0,0,0,0,93,65,28,0
32,200,94,106,0,0,0,0,0,0,0,0,0,200,94,106,0
99,,,,,,,,,,,,,,,,
