entidad_a,meappitt,meappi1,meappi2,meappi3,meappi4,meappi5,meappi6,meappi7,meappi8,meappi9,meappi10,meappi11,meappi12,meappi13,meappi14,meappi15,meappi16,meappi17,meappi18,meappi19,meappi20,meappi21,meappi22,meappi23,meappi24,meappi25
1,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
2,14554,0,0,0,NA,NA,0,0,0,NA,NA,0,13760,NA,0,0,0,0,0,0,0,0,0,NA,NA,794
3,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
4,544,10,0,73,NA,NA,0,0,0,NA,NA,0,0,NA,0,178,0,0,62,32,0,0,0,NA,NA,189
5,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
6,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
7,125,38,1,65,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,5,11,0,0,0,0,NA,NA,5
8,1770,0,18,1467,NA,NA,0,0,0,NA,NA,0,115,NA,14,0,0,0,0,0,0,0,0,NA,NA,156
9,38107,4,1316,5370,NA,NA,0,26,123,NA,NA,259,30079,NA,0,0,0,89,0,33,0,0,0,NA,NA,808
10,42200,0,0,0,NA,NA,0,0,0,NA,NA,0,42200,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
11,41003,210,204,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,489,NA,NA,40100
12,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
13,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
14,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
15,94289,701,1966,37357,NA,NA,0,0,0,NA,NA,726,40000,NA,0,11126,0,497,0,0,0,79,0,NA,NA,1837
16,362,0,0,100,NA,NA,0,0,0,NA,NA,0,150,NA,0,0,0,0,36,0,0,0,0,NA,NA,76
17,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
18,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
19,720,0,720,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
20,2517,70,82,266,NA,NA,0,600,0,NA,NA,0,0,NA,8,0,0,0,0,40,0,0,162,NA,NA,1289
21,102,0,0,82,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,20
22,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
23,10455,21,886,199,NA,NA,0,0,0,NA,NA,0,3000,NA,18,787,3004,0,628,138,1204,0,0,NA,NA,570
24,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
25,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
26,10141,1,0,1,NA,NA,20,0,0,NA,NA,0,10000,NA,0,68,20,0,0,0,0,0,0,NA,NA,31
27,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
28,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
29,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
30,2,0,0,2,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
31,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
32,370801,78,123,0,NA,NA,0,0,0,NA,NA,3000,367600,NA,0,0,0,0,0,0,0,0,0,NA,NA,0
99,,,,,,,,,,,,,,,,,,,,,,,,,,
