entidad_a,dinfau1,dinfau2,dinfau3,dinfau4,dinfau5,dinfau6,dinfau7
1,0,33260,0,0,25,286,0
2,552603,306304,0,0,0,0,0
3,0,0,0,0,0,0,0
4,1459780,0,0,0,0,0,0
5,10110,0,0,0,0,1,0
6,500,0,0,0,0,0,0
7,2629498,146002,0,0,105,3,3
8,3283067,981299,0,0,0,12,18
9,27415521,3962822,347473,908000,4088061,0,1054
10,7011700,0,0,0,0,0,14
11,1565526,0,0,0,0,195,16
12,40810,1,0,0,0,3,0
13,1139500,0,0,0,0,0,0
14,2552568,280219,0,0,1,8,0
15,16361051,219180,525,0,55,47,11
16,4286,0,0,0,0,20,3
17,620133,0,0,0,0,0,0
18,35557,0,0,0,0,4,0
19,2441030,0,0,0,0,0,0
20,395000,10980,0,0,0,6,455
21,666800,0,0,0,0,13,60
22,29000,0,0,0,0,0,2
23,6569,98123,33367,0,1146,0,2
24,374750,17,0,0,0,99,99
25,11714500,0,0,0,0,30,136
26,557000,435660,0,0,0,10,0
27,44320,0,0,0,0,0,5
28,890682,0,0,0,0,0,0
29,13500,0,0,0,0,0,0
30,657630,0,0,0,0,13,3
31,0,0,0,0,0,0,40
32,19200,1,0,0,0,0,1
99,,,,,,,
