mercpira_b,descrip
1,Pares de calzado (excepto calzado deportivo)
2,Pares de calzado deportivo
3,Ropa
4,Juguetes
5,Libros
6,Consolas de videojuegos
7,Fonogramas (discos de música)
8,Videogramas (películas)
9,Software (en dispositivos de almacenamiento físicos)
10,Bebidas alcohólicas
11,Cajetillas de cigarro
12,Cigarros
13,Equipos de cómputo
14,Teléfonos celulares
15,Accesorios para teléfonos celulares (sin incluir audífonos)
16,Audífonos para teléfonos celulares
17,Identificaciones oficiales o documentos
18,Mochilas
19,Bolsas de mano
20,Dinero en efectivo (incluye billetes y monedas)
21,Relojes
22,Lentes de sol
23,Perfumes
24,Medicinas
25,Vacunas
26,Cubrebocas
27,Equipo médico (sin incluir cubrebocas)
28,Otro tipo de mercancía apócrifa o pirata
