numeral,enticve1,entifed1,ubicageo_e,municip1,vehreptt,vehrep1,vehrep2,vehrep3,vehreps1,vehrep4,vehrep5,vehrep6,vehreps2,vehrep8,vehrep9,vehrep10,vehreps3,vehrep12,vehrep13,vehrep14
1,01,AGUASCALIENTES,1001,AGUASCALIENTES,47,13,34,0,0,0,0,0,0,0,0,0,47,13,34,0
2,01,AGUASCALIENTES,1002,ASIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,01,AGUASCALIENTES,1003,CALVILLO,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4,01,AGUASCALIENTES,1004,COSIO,28,8,20,0,0,0,0,0,0,0,0,0,28,8,20,0
5,01,AGUASCALIENTES,1005,JESUS MARIA,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6,01,AGUASCALIENTES,1006,PABELLON DE ARTEAGA,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0
7,01,AGUASCALIENTES,1007,RINCON DE ROMOS,7,4,3,0,0,0,0,0,0,0,0,0,7,4,3,0
8,01,AGUASCALIENTES,1008,SAN JOSE DE GRACIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,01,AGUASCALIENTES,1009,TEPEZALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,01,AGUASCALIENTES,1010,EL LLANO,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0
11,01,AGUASCALIENTES,1011,SAN FRANCISCO DE LOS ROMO,5,3,2,0,0,0,0,0,0,0,0,0,5,3,2,0
12,02,BAJA CALIFORNIA,2001,ENSENADA,160,127,33,0,0,0,0,0,0,0,0,0,160,127,33,0
13,02,BAJA CALIFORNIA,2002,MEXICALI,85,48,37,0,0,0,0,0,0,0,0,0,85,48,37,0
14,02,BAJA CALIFORNIA,2003,TECATE,67,46,21,0,0,0,0,0,0,0,0,0,67,46,21,0
15,02,BAJA CALIFORNIA,2004,TIJUANA,339,243,96,0,0,0,0,0,0,0,0,0,339,243,96,0
16,02,BAJA CALIFORNIA,2005,PLAYAS DE ROSARITO,38,35,3,0,0,0,0,0,0,0,0,0,38,35,3,0
17,02,BAJA CALIFORNIA,2006,SAN QUINTIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,02,BAJA CALIFORNIA,2007,SAN FELIPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,03,BAJA CALIFORNIA SUR,3001,COMONDU,13,4,9,0,0,0,0,0,0,0,0,0,13,4,9,0
20,03,BAJA CALIFORNIA SUR,3002,MULEGE,12,4,8,0,0,0,0,0,0,0,0,0,12,4,8,0
21,03,BAJA CALIFORNIA SUR,3003,LA PAZ,96,49,47,0,0,0,0,0,0,0,0,0,96,49,47,0
22,03,BAJA CALIFORNIA SUR,3008,LOS CABOS,61,16,45,0,0,0,0,0,0,0,0,0,61,16,45,0
23,03,BAJA CALIFORNIA SUR,3009,LORETO,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0
24,04,CAMPECHE,4001,CALKINI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,04,CAMPECHE,4002,CAMPECHE,34,14,20,0,0,0,0,0,0,0,0,0,34,14,20,0
26,04,CAMPECHE,4003,CARMEN,45,12,33,0,0,0,0,0,0,0,0,0,45,12,33,0
27,04,CAMPECHE,4004,CHAMPOTON,24,8,16,0,0,0,0,0,0,0,0,0,24,8,16,0
28,04,CAMPECHE,4005,HECELCHAKAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,04,CAMPECHE,4006,HOPELCHEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,04,CAMPECHE,4007,PALIZADA,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
31,04,CAMPECHE,4008,TENABO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,04,CAMPECHE,4009,ESCARCEGA,139,30,109,0,0,0,0,0,0,0,0,0,139,30,109,0
33,04,CAMPECHE,4010,CALAKMUL,9,5,4,0,0,0,0,0,0,0,0,0,9,5,4,0
34,04,CAMPECHE,4011,CANDELARIA,8,1,7,0,0,0,0,0,0,0,0,0,8,1,7,0
35,04,CAMPECHE,4012,SEYBAPLAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,04,CAMPECHE,4013,DZITBALCHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,05,COAHUILA DE ZARAGOZA,5001,ABASOLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,05,COAHUILA DE ZARAGOZA,5002,ACUÑA,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,0
39,05,COAHUILA DE ZARAGOZA,5003,ALLENDE,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0
40,05,COAHUILA DE ZARAGOZA,5004,ARTEAGA,15,8,7,0,0,0,0,0,0,0,0,0,15,8,7,0
41,05,COAHUILA DE ZARAGOZA,5005,CANDELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,05,COAHUILA DE ZARAGOZA,5006,CASTAÑOS,14,7,7,0,0,0,0,0,0,0,0,0,14,7,7,0
43,05,COAHUILA DE ZARAGOZA,5007,CUATRO CIENEGAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
44,05,COAHUILA DE ZARAGOZA,5008,ESCOBEDO,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0
45,05,COAHUILA DE ZARAGOZA,5009,FRANCISCO I MADERO,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
46,05,COAHUILA DE ZARAGOZA,5010,FRONTERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,05,COAHUILA DE ZARAGOZA,5011,GENERAL CEPEDA,4,2,2,0,0,0,0,0,0,0,0,0,4,2,2,0
48,05,COAHUILA DE ZARAGOZA,5012,GUERRERO,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0
49,05,COAHUILA DE ZARAGOZA,5013,HIDALGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,05,COAHUILA DE ZARAGOZA,5014,JIMENEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,05,COAHUILA DE ZARAGOZA,5015,JUAREZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,05,COAHUILA DE ZARAGOZA,5016,LAMADRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,05,COAHUILA DE ZARAGOZA,5017,MATAMOROS,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
54,05,COAHUILA DE ZARAGOZA,5018,MONCLOVA,15,3,12,0,0,0,0,0,0,0,0,0,15,3,12,0
55,05,COAHUILA DE ZARAGOZA,5019,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,05,COAHUILA DE ZARAGOZA,5020,MUZQUIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,05,COAHUILA DE ZARAGOZA,5021,NADADORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,05,COAHUILA DE ZARAGOZA,5022,NAVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,05,COAHUILA DE ZARAGOZA,5023,OCAMPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,05,COAHUILA DE ZARAGOZA,5024,PARRAS,8,6,2,0,0,0,0,0,0,0,0,0,8,6,2,0
61,05,COAHUILA DE ZARAGOZA,5025,PIEDRAS NEGRAS,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
62,05,COAHUILA DE ZARAGOZA,5026,PROGRESO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,05,COAHUILA DE ZARAGOZA,5027,RAMOS ARIZPE,113,22,91,0,0,0,0,0,0,0,0,0,113,22,91,0
64,05,COAHUILA DE ZARAGOZA,5028,SABINAS,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0
65,05,COAHUILA DE ZARAGOZA,5029,SACRAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,05,COAHUILA DE ZARAGOZA,5030,SALTILLO,37,7,30,0,0,0,0,0,0,0,0,0,37,7,30,0
67,05,COAHUILA DE ZARAGOZA,5031,SAN BUENAVENTURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,05,COAHUILA DE ZARAGOZA,5032,SAN JUAN DE SABINAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,05,COAHUILA DE ZARAGOZA,5033,SAN PEDRO,9,5,4,0,0,0,0,0,0,0,0,0,9,5,4,0
70,05,COAHUILA DE ZARAGOZA,5034,SIERRA MOJADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,05,COAHUILA DE ZARAGOZA,5035,TORREON,14,6,8,0,0,0,0,0,0,0,0,0,14,6,8,0
72,05,COAHUILA DE ZARAGOZA,5036,VIESCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,05,COAHUILA DE ZARAGOZA,5037,VILLA UNION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,05,COAHUILA DE ZARAGOZA,5038,ZARAGOZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,06,COLIMA,6001,ARMERIA,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
76,06,COLIMA,6002,COLIMA,69,19,50,0,0,0,0,0,0,0,0,0,69,19,50,0
77,06,COLIMA,6003,COMALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,06,COLIMA,6004,COQUIMATLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,06,COLIMA,6005,CUAUHTEMOC,29,5,24,0,0,0,0,0,0,0,0,0,29,5,24,0
80,06,COLIMA,6006,IXTLAHUACAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,06,COLIMA,6007,MANZANILLO,65,29,36,0,0,0,0,0,0,0,0,0,65,29,36,0
82,06,COLIMA,6008,MINATITLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,06,COLIMA,6009,TECOMAN,54,14,40,0,0,0,0,0,0,0,0,0,54,14,40,0
84,06,COLIMA,6010,VILLA DE ALVAREZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,07,CHIAPAS,7001,ACACOYAGUA,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
86,07,CHIAPAS,7002,ACALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,07,CHIAPAS,7003,ACAPETAHUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,07,CHIAPAS,7004,ALTAMIRANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,07,CHIAPAS,7005,AMATAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,07,CHIAPAS,7006,AMATENANGO DE LA FRONTERA,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
91,07,CHIAPAS,7007,AMATENANGO DEL VALLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,07,CHIAPAS,7008,ANGEL ALBINO CORZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,07,CHIAPAS,7009,ARRIAGA,5,2,3,0,0,0,0,0,0,0,0,0,5,2,3,0
94,07,CHIAPAS,7010,BEJUCAL DE OCAMPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,07,CHIAPAS,7011,BELLA VISTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,07,CHIAPAS,7012,BERRIOZABAL,13,3,10,0,0,0,0,0,0,0,0,0,13,3,10,0
97,07,CHIAPAS,7013,BOCHIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,07,CHIAPAS,7014,EL BOSQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,07,CHIAPAS,7015,CACAHOATAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,07,CHIAPAS,7016,CATAZAJA,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0
101,07,CHIAPAS,7017,CINTALAPA,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0
102,07,CHIAPAS,7018,COAPILLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,07,CHIAPAS,7019,COMITAN DE DOMINGUEZ,8,2,6,0,0,0,0,0,0,0,0,0,8,2,6,0
104,07,CHIAPAS,7020,LA CONCORDIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,07,CHIAPAS,7021,COPAINALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,07,CHIAPAS,7022,CHALCHIHUITAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,07,CHIAPAS,7023,CHAMULA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,07,CHIAPAS,7024,CHANAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,07,CHIAPAS,7025,CHAPULTENANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,07,CHIAPAS,7026,CHENALHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,07,CHIAPAS,7027,CHIAPA DE CORZO,9,2,7,0,1,0,1,0,0,0,0,0,8,2,6,0
112,07,CHIAPAS,7028,CHIAPILLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,07,CHIAPAS,7029,CHICOASEN,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0
114,07,CHIAPAS,7030,CHICOMUSELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,07,CHIAPAS,7031,CHILON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,07,CHIAPAS,7032,ESCUINTLA,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,0
117,07,CHIAPAS,7033,FRANCISCO LEON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,07,CHIAPAS,7034,FRONTERA COMALAPA,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
119,07,CHIAPAS,7035,FRONTERA HIDALGO,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
120,07,CHIAPAS,7036,LA GRANDEZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,07,CHIAPAS,7037,HUEHUETAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,07,CHIAPAS,7038,HUIXTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,07,CHIAPAS,7039,HUITIUPAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,07,CHIAPAS,7040,HUIXTLA,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
125,07,CHIAPAS,7041,LA INDEPENDENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,07,CHIAPAS,7042,IXHUATAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,07,CHIAPAS,7043,IXTACOMITAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,07,CHIAPAS,7044,IXTAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,07,CHIAPAS,7045,IXTAPANGAJOYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,07,CHIAPAS,7046,JIQUIPILAS,4,3,1,0,0,0,0,0,0,0,0,0,4,3,1,0
131,07,CHIAPAS,7047,JITOTOL,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
132,07,CHIAPAS,7048,JUAREZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,07,CHIAPAS,7049,LARRAINZAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,07,CHIAPAS,7050,LA LIBERTAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,07,CHIAPAS,7051,MAPASTEPEC,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
136,07,CHIAPAS,7052,LAS MARGARITAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,07,CHIAPAS,7053,MAZAPA DE MADERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,07,CHIAPAS,7054,MAZATAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,07,CHIAPAS,7055,METAPA,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0
140,07,CHIAPAS,7056,MITONTIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
