entidad_e,metpre1,metpre2,metpre3,metpre4
1,0,NA,NA,NA
2,0,NA,NA,NA
3,0,NA,NA,NA
4,0,NA,NA,NA
5,0,NA,NA,NA
6,0,NA,NA,NA
7,.33,NA,NA,NA
8,0,NA,NA,NA
9,0,NA,NA,NA
10,0,NA,NA,NA
11,0,NA,NA,NA
12,0,NA,NA,NA
13,0,NA,NA,NA
14,3,NA,NA,NA
15,0,NA,NA,NA
16,0,NA,NA,NA
17,0,NA,NA,NA
18,0,NA,NA,NA
19,0,NA,NA,NA
20,0,NA,NA,NA
21,0,NA,NA,NA
22,0,NA,NA,NA
23,0,NA,NA,NA
24,0,NA,NA,NA
25,0,NA,NA,NA
26,1.4,NA,NA,NA
27,0,NA,NA,NA
28,0,NA,NA,NA
29,0,NA,NA,NA
30,0,NA,NA,NA
31,0,NA,NA,NA
32,0,NA,NA,NA
33,0,NA,NA,NA
99,,,,
