entidad_e,dinero1,dinero2,dinero3,dinero4,dinero5,dinero6,dinero7,dinero8,dinero9,dinero10,dinero11,dinero12,dinero13,dinero14,dinero15,dinero16,dinero17,dinero18,dinero19,dinero20,dinero21
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,137550,0,0,0,1459537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,594000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3703453,0,0,0,9160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1088883,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1377625,0,0,0,1012736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,131854770,0,13095,4999,3589137,0,272447,0,0,0,0,25446558,10000,0,0,0,0,1210,424000,106000,0
10,7753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1004281.5,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2068184,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,186501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1558057,0,0,0,298539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815,0
15,1591254,0,0,0,451621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,251832,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9163,0,0,0,52366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,248689,0,0,0,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,7975372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1877800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,697579,0,0,0,136416,0,64210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,192939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3128094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2448053,0,0,0,666586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,257315,0,0,0,7,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0
28,48282,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,50102,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2857500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1015509,0,0,0,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,,,,,,,,,,,,,,,,,,,,,
