tipfauna_a,rensnp1,unidmedi_f,totalca1
1101,2,0,NA
1102,1,1,2
1103,2,0,NA
1104,2,0,NA
1105,2,0,NA
1106,1,1,2
1107,1,1,3
1108,1,1,1
1109,1,1,353
1110,1,1,263
1111,2,0,NA
1201,1,1,6737
1202,2,0,NA
1203,2,0,NA
1204,2,0,NA
1205,1,1,2
1206,1,1,5174
1207,1,1,4
1208,1,1,310
1209,2,0,NA
1301,1,1,3
1302,1,1,2
1303,1,1,17
1304,1,1,221
1305,1,1,13
1306,1,1,36
1307,1,1,11
1308,1,1,8
1309,2,0,NA
1401,1,1,2
1402,1,1,12
1403,2,0,NA
1404,2,0,NA
1405,2,0,NA
1406,2,0,NA
1501,2,0,NA
1502,2,0,NA
1503,2,0,NA
1504,2,0,NA
1505,2,0,NA
1506,2,0,NA
1507,2,0,NA
1508,2,0,NA
1509,2,0,NA
1510,2,0,NA
1511,2,0,NA
1512,2,0,NA
1513,2,0,NA
1514,2,0,NA
1515,2,0,NA
1516,2,0,NA
1517,2,0,NA
1518,1,3,140
1519,1,1,19
1520,2,0,NA
1600,2,0,NA
1700,2,0,NA
2101,1,1,1
2102,2,0,NA
2103,2,0,NA
2104,2,0,NA
2105,1,1,320
2106,1,1,70
2107,2,0,NA
2108,2,0,NA
2109,1,1,5
2110,1,1,689
2111,2,0,NA
2201,2,0,NA
2202,2,0,NA
2203,2,0,NA
2204,2,0,NA
2205,2,0,NA
2301,2,0,NA
2302,2,0,NA
2303,1,1,2945
2304,2,0,NA
2305,2,0,NA
2401,2,0,NA
2402,2,0,NA
2403,2,0,NA
2404,2,0,NA
2405,2,0,NA
2406,2,0,NA
2407,2,0,NA
2501,2,0,NA
2502,2,0,NA
2503,2,0,NA
2600,2,0,NA
2700,2,0,NA
3000,1,1,8
