autornot_j,descrip
1,Fiscalía General de la República
2,Secretaría de la Defensa Nacional
3,Secretaría de Marina
4,Secretaría de Seguridad y Protección Ciudadana (sin incluir a la Guardia Nacional)
5,Autoridades aduaneras
6,Fiscalías Generales o Procuradurías Generales de Justicia de las entidades federativas
7,Secretarías de Seguridad Pública u homólogas de las entidades federativas
8,Secretarías de Seguridad Pública u homólogas de los municipios o demarcaciones territoriales
9,Dependencias coordinadas
10,Otra autoridad
11,Autoridad no identificada
12,No se notificó su aseguramiento
13,No identificado
99,No especificado
