tipfauna_a,rnsnni1,unidmedi_f,totalca1
1101,2,0,NA
1102,1,1,3
1103,2,0,NA
1104,2,0,NA
1105,2,0,NA
1106,2,0,NA
1107,2,0,NA
1108,2,0,NA
1109,2,0,NA
1110,2,0,NA
1111,2,0,NA
1201,2,0,NA
1202,2,0,NA
1203,2,0,NA
1204,2,0,NA
1205,2,0,NA
1206,1,1,1
1207,2,0,NA
1208,1,1,7
1209,2,0,NA
1301,2,0,NA
1302,1,1,1
1303,1,1,3
1304,2,0,NA
1305,2,0,NA
1306,2,0,NA
1307,1,1,2
1308,2,0,NA
1309,2,0,NA
1401,2,0,NA
1402,2,0,NA
1403,2,0,NA
1404,2,0,NA
1405,2,0,NA
1406,2,0,NA
1501,2,0,NA
1502,2,0,NA
1503,2,0,NA
1504,2,0,NA
1505,2,0,NA
1506,2,0,NA
1507,2,0,NA
1508,2,0,NA
1509,2,0,NA
1510,2,0,NA
1511,2,0,NA
1512,2,0,NA
1513,2,0,NA
1514,2,0,NA
1515,2,0,NA
1516,2,0,NA
1517,2,0,NA
1518,2,0,NA
1519,1,1,79
1520,2,0,NA
1600,2,0,NA
1700,2,0,NA
2101,2,0,NA
2102,1,2,87261
2103,2,0,NA
2104,2,0,NA
2105,2,0,NA
2106,2,0,NA
2107,2,0,NA
2108,2,0,NA
2109,2,0,NA
2110,2,0,NA
2111,2,0,NA
2201,2,0,NA
2202,2,0,NA
2203,2,0,NA
2204,2,0,NA
2205,2,0,NA
2301,2,0,NA
2302,2,0,NA
2303,2,0,NA
2304,2,0,NA
2305,2,0,NA
2401,1,2,1200
2402,2,0,NA
2403,1,2,1000
2404,1,2,3100
2405,1,2,1025
2406,2,0,NA
2407,2,0,NA
2501,2,0,NA
2502,2,0,NA
2503,2,0,NA
2600,2,0,NA
2700,2,0,NA
3000,1,2,5550
