mercpira_f,rnsnni1,unmeco1,unmeco2,unmeco3,unmeco4,unmeco5,unmeco6,unmeco7,unmeco8
1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,1,39777,0,0,0,0,0,0,0
3,2,NA,NA,NA,NA,NA,NA,NA,NA
4,2,NA,NA,NA,NA,NA,NA,NA,NA
5,2,NA,NA,NA,NA,NA,NA,NA,NA
6,2,NA,NA,NA,NA,NA,NA,NA,NA
7,2,NA,NA,NA,NA,NA,NA,NA,NA
8,2,NA,NA,NA,NA,NA,NA,NA,NA
9,2,NA,NA,NA,NA,NA,NA,NA,NA
10,2,NA,NA,NA,NA,NA,NA,NA,NA
11,2,NA,NA,NA,NA,NA,NA,NA,NA
12,2,NA,NA,NA,NA,NA,NA,NA,NA
13,1,30000000,0,0,0,0,0,NA,0
14,2,NA,NA,NA,NA,NA,NA,NA,NA
15,2,NA,NA,NA,NA,NA,NA,NA,NA
16,2,NA,NA,NA,NA,NA,NA,NA,NA
17,2,NA,NA,NA,NA,NA,NA,NA,NA
18,2,NA,NA,NA,NA,NA,NA,NA,NA
19,1,114,0,0,0,0,0,0,0
20,2,NA,NA,NA,NA,NA,NA,NA,NA
21,2,NA,NA,NA,NA,NA,NA,NA,NA
22,2,NA,NA,NA,NA,NA,NA,NA,NA
23,2,NA,NA,NA,NA,NA,NA,NA,NA
24,2,NA,NA,NA,NA,NA,NA,NA,NA
25,2,NA,NA,NA,NA,NA,NA,NA,NA
26,2,NA,NA,NA,NA,NA,NA,NA,NA
27,2,NA,NA,NA,NA,NA,NA,NA,NA
28,2,NA,NA,NA,NA,NA,NA,NA,NA
29,2,NA,NA,NA,NA,NA,NA,NA,NA
30,2,NA,NA,NA,NA,NA,NA,NA,NA
31,2,NA,NA,NA,NA,NA,NA,NA,NA
32,2,NA,NA,NA,NA,NA,NA,NA,NA
33,1,53483,0,0,0,0,0,0,2
