entidad_e,dinero1,dinero2,dinero3,dinero4,dinero5,dinero6,dinero7,dinero8,dinero9,dinero10,dinero11,dinero12,dinero13,dinero14,dinero15,dinero16,dinero17,dinero18,dinero19,dinero20,dinero21
1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,95966,0,0,0,555827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,43900,0,0,0,124599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2980,0,0,0,6880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1461662,0,0,0,101500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,33045,0,0,0,198385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10962,0,0,0,5,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,268500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,110,0,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1523301,0,0,0,10709,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0
15,22686441,0,0,0,56043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1411002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5372960,0,0,0,1847,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,368539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1139160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1155269,0,0,0,9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,48876,0,0,0,88531,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,48161,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3822470,0,0,0,11869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,193284,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,746170,0,0,0,27789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,,,,,,,,,,,,,,,,,,,,,
