tipoflor_a,rnsnni1,florum1,florum2,florum3,florum4
101,2,NA,NA,NA,NA
102,2,NA,NA,NA,NA
103,2,NA,NA,NA,NA
104,2,NA,NA,NA,NA
105,2,NA,NA,NA,NA
106,2,NA,NA,NA,NA
201,2,NA,NA,NA,NA
202,1,48,0,0,0
203,2,NA,NA,NA,NA
204,2,NA,NA,NA,NA
205,2,NA,NA,NA,NA
301,2,NA,NA,NA,NA
302,2,NA,NA,NA,NA
303,2,NA,NA,NA,NA
304,2,NA,NA,NA,NA
401,2,NA,NA,NA,NA
402,2,NA,NA,NA,NA
403,2,NA,NA,NA,NA
404,2,NA,NA,NA,NA
405,2,NA,NA,NA,NA
406,1,0,30000,0,0
500,2,NA,NA,NA,NA
600,2,NA,NA,NA,NA
700,2,NA,NA,NA,NA
800,2,NA,NA,NA,NA
900,2,NA,NA,NA,NA
1000,1,0,50468,0,0
