tipfauna_a,rnsnni1,florum1,florum2,florum4
1101,2,NA,NA,NA
1102,2,NA,NA,NA
1103,2,NA,NA,NA
1104,2,NA,NA,NA
1105,2,NA,NA,NA
1106,2,NA,NA,NA
1107,2,NA,NA,NA
1108,2,NA,NA,NA
1109,2,NA,NA,NA
1110,2,NA,NA,NA
1111,2,NA,NA,NA
1201,2,NA,NA,NA
1202,2,NA,NA,NA
1203,2,NA,NA,NA
1204,2,NA,NA,NA
1205,2,NA,NA,NA
1206,1,98,0,0
1207,2,NA,NA,NA
1208,2,NA,NA,NA
1209,2,NA,NA,NA
1301,2,NA,NA,NA
1302,1,11,0,0
1303,2,NA,NA,NA
1304,2,NA,NA,NA
1305,2,NA,NA,NA
1306,1,13,0,0
1307,1,17,0,0
1308,2,NA,NA,NA
1309,2,NA,NA,NA
1401,2,NA,NA,NA
1402,2,NA,NA,NA
1403,2,NA,NA,NA
1404,2,NA,NA,NA
1405,2,NA,NA,NA
1406,2,NA,NA,NA
1501,2,NA,NA,NA
1502,2,NA,NA,NA
1503,2,NA,NA,NA
1504,2,NA,NA,NA
1505,2,NA,NA,NA
1506,2,NA,NA,NA
1507,2,NA,NA,NA
1508,2,NA,NA,NA
1509,2,NA,NA,NA
1510,2,NA,NA,NA
1511,2,NA,NA,NA
1512,2,NA,NA,NA
1513,2,NA,NA,NA
1514,2,NA,NA,NA
1515,2,NA,NA,NA
1516,2,NA,NA,NA
1517,2,NA,NA,NA
1518,2,NA,NA,NA
1519,2,NA,NA,NA
1520,2,NA,NA,NA
1600,2,NA,NA,NA
1700,2,NA,NA,NA
2101,2,NA,NA,NA
2102,2,NA,NA,NA
2103,2,NA,NA,NA
2104,2,NA,NA,NA
2105,2,NA,NA,NA
2106,2,NA,NA,NA
2107,2,NA,NA,NA
2108,2,NA,NA,NA
2109,2,NA,NA,NA
2110,2,NA,NA,NA
2111,2,NA,NA,NA
2201,1,25,0,0
2202,2,NA,NA,NA
2203,2,NA,NA,NA
2204,2,NA,NA,NA
2205,2,NA,NA,NA
2301,2,NA,NA,NA
2302,2,NA,NA,NA
2303,2,NA,NA,NA
2304,2,NA,NA,NA
2305,2,NA,NA,NA
2401,2,NA,NA,NA
2402,2,NA,NA,NA
2403,2,NA,NA,NA
2404,2,NA,NA,NA
2405,2,NA,NA,NA
2406,2,NA,NA,NA
2407,2,NA,NA,NA
2501,2,NA,NA,NA
2502,2,NA,NA,NA
2503,2,NA,NA,NA
2600,2,NA,NA,NA
2700,2,NA,NA,NA
3000,2,NA,NA,NA
