COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
numeral,Identificador o numeral del orden que guarda cada registro capturado dentro de la lista,SECC IV. 16,Carácter,4,0-5000
enticve1,Clave de Entidad federativa,SECC IV. 16,Carácter,2500,
entifed1,Nombre de Entidad federativa,SECC IV. 16,Carácter,2500,
municve1,Clave de Municipio o demarcación territorial,SECC IV. 16,Carácter,2500,
municip1,Nombre de Municipio o demarcación territorial,SECC IV. 16,Carácter,2500,
mapum1,Pares de calzado (excepto calzado deportivo) - Piezas o unidades,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum2,Pares de calzado (excepto calzado deportivo) - Kilogramos,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum3,Pares de calzado (excepto calzado deportivo) - Litros,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum4,Pares de calzado (excepto calzado deportivo) - Metros,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum5,Pares de calzado (excepto calzado deportivo) - Pesos mexicanos,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum6,"Pares de calzado (excepto calzado deportivo) - Tableta, pastilla o cápsula",SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum7,Pares de calzado (excepto calzado deportivo) - Caja o cajetilla,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum8,Pares de calzado (excepto calzado deportivo) - Otra unidad de medida,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum9,Pares de calzado deportivo - Piezas o unidades,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum10,Pares de calzado deportivo - Kilogramos,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum11,Pares de calzado deportivo - Litros,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum12,Pares de calzado deportivo - Metros,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum13,Pares de calzado deportivo - Pesos mexicanos,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum14,"Pares de calzado deportivo - Tableta, pastilla o cápsula",SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum15,Pares de calzado deportivo - Caja o cajetilla,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum16,Pares de calzado deportivo - Otra unidad de medida,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum17,Ropa - Piezas o unidades,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum18,Ropa - Kilogramos,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum19,Ropa - Litros,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum20,Ropa - Metros,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum21,Ropa - Pesos mexicanos,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum22,"Ropa - Tableta, pastilla o cápsula",SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum23,Ropa - Caja o cajetilla,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum24,Ropa - Otra unidad de medida,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum25,Juguetes - Piezas o unidades,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum26,Juguetes - Kilogramos,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum27,Juguetes - Litros,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum28,Juguetes - Metros,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum29,Juguetes - Pesos mexicanos,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum30,"Juguetes - Tableta, pastilla o cápsula",SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum31,Juguetes - Caja o cajetilla,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum32,Juguetes - Otra unidad de medida,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum33,Libros - Piezas o unidades,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum34,Libros - Kilogramos,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum35,Libros - Litros,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum36,Libros - Metros,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum37,Libros - Pesos mexicanos,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum38,"Libros - Tableta, pastilla o cápsula",SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum39,Libros - Caja o cajetilla,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum40,Libros - Otra unidad de medida,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum41,Consolas de videojuegos - Piezas o unidades,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum42,Consolas de videojuegos - Kilogramos,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum43,Consolas de videojuegos - Litros,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum44,Consolas de videojuegos - Metros,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum45,Consolas de videojuegos - Pesos mexicanos,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum46,"Consolas de videojuegos - Tableta, pastilla o cápsula",SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum47,Consolas de videojuegos - Caja o cajetilla,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mapum48,Consolas de videojuegos - Otra unidad de medida,SECC IV. 16,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
