Entidad,Fecha,unemp_rate
Aguascalientes,2017-07-01,3.31035
Aguascalientes,2017-08-01,3.31035
Aguascalientes,2017-09-01,3.31035
Aguascalientes,2017-01-01,3.40056
Aguascalientes,2017-02-01,3.40056
Aguascalientes,2017-03-01,3.40056
Aguascalientes,2017-10-01,3.64327
Aguascalientes,2017-11-01,3.64327
Aguascalientes,2017-12-01,3.64327
Aguascalientes,2017-04-01,4.16711
Aguascalientes,2017-05-01,4.16711
Aguascalientes,2017-06-01,4.16711
Aguascalientes,2018-10-01,3.16656
Aguascalientes,2018-11-01,3.16656
Aguascalientes,2018-12-01,3.16656
Aguascalientes,2018-04-01,3.31805
Aguascalientes,2018-05-01,3.31805
Aguascalientes,2018-06-01,3.31805
Aguascalientes,2018-07-01,3.62782
Aguascalientes,2018-08-01,3.62782
Aguascalientes,2018-09-01,3.62782
Aguascalientes,2018-01-01,3.68797
Aguascalientes,2018-02-01,3.68797
Aguascalientes,2018-03-01,3.68797
Aguascalientes,2019-01-01,3.28535
Aguascalientes,2019-02-01,3.28535
Aguascalientes,2019-03-01,3.28535
Aguascalientes,2019-10-01,3.34141
Aguascalientes,2019-11-01,3.34141
Aguascalientes,2019-12-01,3.34141
Aguascalientes,2019-04-01,3.67106
Aguascalientes,2019-05-01,3.67106
Aguascalientes,2019-06-01,3.67106
Aguascalientes,2019-07-01,3.79282
Aguascalientes,2019-08-01,3.79282
Aguascalientes,2019-09-01,3.79282
Aguascalientes,2020-01-01,3.35009
Aguascalientes,2020-02-01,3.35009
Aguascalientes,2020-03-01,3.35009
Aguascalientes,2020-07-01,5.1923
Aguascalientes,2020-08-01,5.1923
Aguascalientes,2020-09-01,5.1923
Aguascalientes,2020-10-01,5.19754
Aguascalientes,2020-11-01,5.19754
Aguascalientes,2020-12-01,5.19754
Aguascalientes,2020-04-01,NA
Aguascalientes,2020-05-01,NA
Aguascalientes,2020-06-01,NA
Aguascalientes,2021-01-01,3.62242
Aguascalientes,2021-02-01,3.62242
Aguascalientes,2021-03-01,3.62242
Aguascalientes,2021-04-01,3.87156
Aguascalientes,2021-05-01,3.87156
Aguascalientes,2021-06-01,3.87156
Aguascalientes,2021-10-01,4.37726
Aguascalientes,2021-11-01,4.37726
Aguascalientes,2021-12-01,4.37726
Aguascalientes,2021-07-01,4.62574
Aguascalientes,2021-08-01,4.62574
Aguascalientes,2021-09-01,4.62574
Aguascalientes,2022-01-01,3.51969
Aguascalientes,2022-02-01,3.51969
Aguascalientes,2022-03-01,3.51969
Aguascalientes,2022-10-01,3.76756
Aguascalientes,2022-11-01,3.76756
Aguascalientes,2022-12-01,3.76756
Aguascalientes,2022-04-01,3.7682
Aguascalientes,2022-05-01,3.7682
Aguascalientes,2022-06-01,3.7682
Aguascalientes,2022-07-01,4.03923
Aguascalientes,2022-08-01,4.03923
Aguascalientes,2022-09-01,4.03923
Aguascalientes,2023-01-01,3.01962
Aguascalientes,2023-02-01,3.01962
Aguascalientes,2023-03-01,3.01962
Aguascalientes,2023-07-01,3.17738
Aguascalientes,2023-08-01,3.17738
Aguascalientes,2023-09-01,3.17738
Aguascalientes,2023-04-01,3.19796
Aguascalientes,2023-05-01,3.19796
Aguascalientes,2023-06-01,3.19796
Aguascalientes,2023-10-01,3.50581
Aguascalientes,2023-11-01,3.50581
Aguascalientes,2023-12-01,3.50581
Baja California,2017-10-01,2.67652
Baja California,2017-11-01,2.67652
Baja California,2017-12-01,2.67652
Baja California,2017-04-01,2.81202
Baja California,2017-05-01,2.81202
Baja California,2017-06-01,2.81202
Baja California,2017-01-01,2.88928
Baja California,2017-02-01,2.88928
Baja California,2017-03-01,2.88928
Baja California,2017-07-01,3.03208
Baja California,2017-08-01,3.03208
Baja California,2017-09-01,3.03208
Baja California,2018-01-01,2.11637
Baja California,2018-02-01,2.11637
Baja California,2018-03-01,2.11637
Baja California,2018-10-01,2.23372
Baja California,2018-11-01,2.23372
Baja California,2018-12-01,2.23372
Baja California,2018-04-01,2.68229
Baja California,2018-05-01,2.68229
Baja California,2018-06-01,2.68229
Baja California,2018-07-01,3.02234
Baja California,2018-08-01,3.02234
Baja California,2018-09-01,3.02234
Baja California,2019-10-01,2.21851
Baja California,2019-11-01,2.21851
Baja California,2019-12-01,2.21851
Baja California,2019-01-01,2.51192
Baja California,2019-02-01,2.51192
Baja California,2019-03-01,2.51192
Baja California,2019-04-01,2.5576
Baja California,2019-05-01,2.5576
Baja California,2019-06-01,2.5576
Baja California,2019-07-01,2.89908
Baja California,2019-08-01,2.89908
Baja California,2019-09-01,2.89908
Baja California,2020-01-01,2.16798
Baja California,2020-02-01,2.16798
Baja California,2020-03-01,2.16798
Baja California,2020-07-01,2.74817
Baja California,2020-08-01,2.74817
Baja California,2020-09-01,2.74817
Baja California,2020-10-01,2.88007
Baja California,2020-11-01,2.88007
Baja California,2020-12-01,2.88007
Baja California,2020-04-01,NA
Baja California,2020-05-01,NA
Baja California,2020-06-01,NA
Baja California,2021-10-01,2.04351
Baja California,2021-11-01,2.04351
Baja California,2021-12-01,2.04351
Baja California,2021-04-01,2.44667
Baja California,2021-05-01,2.44667
Baja California,2021-06-01,2.44667
Baja California,2021-01-01,2.55476
Baja California,2021-02-01,2.55476
Baja California,2021-03-01,2.55476
Baja California,2021-07-01,2.87954
Baja California,2021-08-01,2.87954
Baja California,2021-09-01,2.87954
Baja California,2022-01-01,1.91049
Baja California,2022-02-01,1.91049
Baja California,2022-03-01,1.91049
Baja California,2022-04-01,2.50984
Baja California,2022-05-01,2.50984
Baja California,2022-06-01,2.50984
Baja California,2022-07-01,2.59254
Baja California,2022-08-01,2.59254
Baja California,2022-09-01,2.59254
Baja California,2022-10-01,2.70224
Baja California,2022-11-01,2.70224
Baja California,2022-12-01,2.70224
Baja California,2023-01-01,1.71222
Baja California,2023-02-01,1.71222
Baja California,2023-03-01,1.71222
Baja California,2023-10-01,2.24539
Baja California,2023-11-01,2.24539
Baja California,2023-12-01,2.24539
Baja California,2023-04-01,2.30743
Baja California,2023-05-01,2.30743
Baja California,2023-06-01,2.30743
Baja California,2023-07-01,2.43889
Baja California,2023-08-01,2.43889
Baja California,2023-09-01,2.43889
Baja California Sur,2017-04-01,4.00467
Baja California Sur,2017-05-01,4.00467
Baja California Sur,2017-06-01,4.00467
Baja California Sur,2017-10-01,4.1055
Baja California Sur,2017-11-01,4.1055
Baja California Sur,2017-12-01,4.1055
Baja California Sur,2017-07-01,4.55795
Baja California Sur,2017-08-01,4.55795
Baja California Sur,2017-09-01,4.55795
Baja California Sur,2017-01-01,4.7592
Baja California Sur,2017-02-01,4.7592
Baja California Sur,2017-03-01,4.7592
Baja California Sur,2018-04-01,3.41515
Baja California Sur,2018-05-01,3.41515
Baja California Sur,2018-06-01,3.41515
Baja California Sur,2018-01-01,3.72671
Baja California Sur,2018-02-01,3.72671
Baja California Sur,2018-03-01,3.72671
Baja California Sur,2018-10-01,3.87078
Baja California Sur,2018-11-01,3.87078
Baja California Sur,2018-12-01,3.87078
Baja California Sur,2018-07-01,4.11745
Baja California Sur,2018-08-01,4.11745
Baja California Sur,2018-09-01,4.11745
Baja California Sur,2019-01-01,3.95454
Baja California Sur,2019-02-01,3.95454
Baja California Sur,2019-03-01,3.95454
Baja California Sur,2019-10-01,4.37215
Baja California Sur,2019-11-01,4.37215
Baja California Sur,2019-12-01,4.37215
Baja California Sur,2019-04-01,4.61803
Baja California Sur,2019-05-01,4.61803
Baja California Sur,2019-06-01,4.61803
Baja California Sur,2019-07-01,4.94592
Baja California Sur,2019-08-01,4.94592
Baja California Sur,2019-09-01,4.94592
Baja California Sur,2020-01-01,3.83703
Baja California Sur,2020-02-01,3.83703
Baja California Sur,2020-03-01,3.83703
Baja California Sur,2020-10-01,5.42497
Baja California Sur,2020-11-01,5.42497
Baja California Sur,2020-12-01,5.42497
Baja California Sur,2020-07-01,7.38778
Baja California Sur,2020-08-01,7.38778
Baja California Sur,2020-09-01,7.38778
Baja California Sur,2020-04-01,NA
Baja California Sur,2020-05-01,NA
Baja California Sur,2020-06-01,NA
Baja California Sur,2021-10-01,2.5922
Baja California Sur,2021-11-01,2.5922
Baja California Sur,2021-12-01,2.5922
Baja California Sur,2021-07-01,4.25482
Baja California Sur,2021-08-01,4.25482
Baja California Sur,2021-09-01,4.25482
Baja California Sur,2021-04-01,4.4095
Baja California Sur,2021-05-01,4.4095
Baja California Sur,2021-06-01,4.4095
Baja California Sur,2021-01-01,4.98176
Baja California Sur,2021-02-01,4.98176
Baja California Sur,2021-03-01,4.98176
Baja California Sur,2022-04-01,2.73295
Baja California Sur,2022-05-01,2.73295
Baja California Sur,2022-06-01,2.73295
Baja California Sur,2022-10-01,2.85079
Baja California Sur,2022-11-01,2.85079
Baja California Sur,2022-12-01,2.85079
Baja California Sur,2022-07-01,2.8679
Baja California Sur,2022-08-01,2.8679
Baja California Sur,2022-09-01,2.8679
Baja California Sur,2022-01-01,2.87475
